star_rating,star_rating_Low,product_category,product_id,product_title,review_date,review_body2
3,1,Books,0747599874,The Tales of Beedle the Bard (UK) Standard Edition,2015-03-06,ハリーポッターシリーズのファンで、映画の中でこの物語が登場していて、原語でよんでみたいと思い、購入しました。新品ですが、表紙に古びた感じが出ているのがよかったです。ファンにとってはたまらない一冊となるとおもいますが、お値段がすこしだけお高いかなと思いました。あと、本の中は結構文字がびっしりな気がしました。読みやすさという点でも－ということで、星３つです！ただ、内容はほんとうにおもしろかったです(^.^)
5,0,Books,0062012339,The Dirt (The Anniversary Edition): Confessions of the World's Most Notorious Rock Band,2015-04-06,頑張ってでも英語版で読むこと勧めます。翻訳版は、意訳が多いです。ハードカバーの本書は、外に更に豪華なカバーがついており、単純に部屋のお気に入りの場所においてもサマになります。
5,0,Books,0805047905,"Brown Bear, Brown Bear, What Do You See? (Brown Bear and Friends)",2015-03-27,知らず知らず、子供達が覚えて・・・それも楽しそうに発話するので、有難い絵本です！！
5,0,Books,0805053883,"Polar Bear, Polar Bear, What Do You Hear?",2015-03-27,リズムがあって、この本大好きです！！ 子供達も大喜びに違いありません。
5,0,Books,0345803485,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,2015-06-20,表記通りの状態で、表面の傷もあまり目立たなかったです。とてもよい買い物が出来ました(﹡ˆᴗˆ﹡)語学の勉強に使います。
5,0,Books,0071766588,"Official Guide to the TOEFL Test With CD-ROM, 4th Edition (Official Guide to the Toefl Ibt)",2015-08-24,綺麗な商品で、安く買うことが出来たのでよかったです！解説も全て英語なので、とても勉強になります。
4,0,Books,B006OB3K56,Shame/シェイム [リージョンA][Import],2015-05-12,『ピアノ・レッスン』には、海底に眠る死者の回想という話が、裏に隠されていたが（こっちが本当？）、そのような展開にでもできたら、より奥行きが増したかもしれない。だが、主人公の自堕落ぶりは、普通人のカタルシスとしては、ＧＯＯＤ！？子供は成長して大人になるのではなく、大人と子供の部分を持った人間になる。サイト「ＢＬＵＥ ＤＷＡＲＦを探して」Ｇｏｏｇｉｅより
5,0,Books,0805047905,"Brown Bear, Brown Bear, What Do You See? (Brown Bear and Friends)",2015-03-02,最初は興味なさげだったけど、YouTubeで音楽聴かせたら大好きになりました。朗読しても歌っても楽しめるお気に入りの絵本です。繰り返しなので最近では暗唱したみたいで、自分で絵本を読んでます。
4,0,Books,4883196038,みんなの日本語 初級I 第2版 本冊,2015-03-12,今日届きました、ありがとうございます。これから日本語を勉強します。ヾ(＠⌒ー⌒＠)ノヾ(＠⌒ー⌒＠)ノ
5,0,Books,0521675804,Essential Grammar in Use with Answers: A Self-Study Reference and Practice Book for Elementary Students of English,2015-05-12,買ってまだ全部はやっていないですが、頑張ってやろうと思います。
5,0,Books,1849493731,Cakes in Bloom: Exquisite Sugarcraft Flowers for All Occasions,2015-06-29,素晴らしい本です。クレイに興味がある方にも大変にオススメです。
4,0,Books,1742204147,Lonely Planet Japan,2015-04-15,外国人目線の日本が観れるのでいいですよ！私は日本の観光ガイドブックとして購入しました。
5,0,Books,052118939X,English Grammar in Use with Answers and CD-ROM: A Self-Study Reference and Practice Book for Intermediate Learners of English,2014-10-31,沢山の方が高いレビューされているとおり英語を教える人にとっては、日本語の文法教材より理解しやすい.
4,0,Books,1402720602,Classical Guitar Making: A Modern Approach to Traditional Design,2015-01-25,ギター製作、未経験者では、英語が理解できないと、難しいかも。経験者なら、写真が多く、理解しやすい。2014/12～2015/01にかけて、２本のギターを作りました。しかし、日本語版があればなアアア、、、
5,0,Books,4041103800,ザ・マジック,2015-05-14,感謝ワーク効きますよ！今まで起こらなかった変化が起こっています。習慣にすると、落ち込んだ時に抜け出すのが早いです。感謝を毎日すると、この日本で生活している自分がどれだけ恵まれているか気づきます。気分のままに好きなワークをしています。順番通りやった方が効果がでるんでしょうか？他の方の体験談も希望です。
4,0,Books,1465418970,LEGO Star Wars: The Dark Side,2014-12-12,パルパティーンが欲しくて買った。本はページ数が本の厚さの半分しかなかったが、内容は面白かったです。（全部英語）
5,0,Books,3836538725,Genesis,2015-06-13,本当に自分の部屋から撮影者がいる地点に瞬間移動してしまったかのような圧倒的な臨場感。また地球にある自分の存在感を再確認させられる静謐な空間を敬意を持って一枚一枚めくりました。TEDでカメラマンのサルガドのスピーチを聞いて、その写真も紹介されていて感動して買ったのですが、彼の人生そのものが凝縮されているようでまた感動しました。大きくて重量感もあり、内容もまさにタイトル通りの深遠さを含蓄するものですが、これからも時々鑑賞できると思うととても豊かな気持ちになりました。
5,0,Books,4863892217,吟遊詩人ビードルの物語 (ハリー・ポッター文庫),2014-11-11,どんな話なんだろうと思って購入した所、面白く読めた。また、本の売り上げが、世界の貧しい人々に寄付されるとの事、素晴らしい。
5,0,Books,0811879542,Press Here,2014-10-12,フランスの作家さんの作品？でしょうか？とても素敵で、子供も大人も楽しめます。
5,0,Books,1444720724,Shining,2015-08-18,説明？なにもかもが入ってます、はい。とりあえずOK。ご自分でも傑作に挙げるんでは…カセットも。やっとわかりました。リバイバルは、危険。
5,0,Books,1444723448,Gunslinger (Dark Tower),2015-08-24,権力の象徴、象形。初期です。急過ぎず、焦らず等。70年代〜とか
5,0,Books,0241962331,The Spy Who Came in from the Cold,2015-05-22,70年代の冷戦の雰囲気がよくでていました。子供のころウィーンにいた時分を思い出しました。東側を命がけで越境して来る亡命者のニュースを良くテレビでやってました。西側からクレーンを回して脱出を助けたり。それを東側の監視塔から銃撃して来るのです。この本の冒頭とラストにも似たような描写がでてきて思い出しました。
5,0,Books,1419711660,The Art of DreamWorks Animation: Celebrating 20 Years of Art,2014-12-19,彼女へのプレゼントでしたが相当喜んでくれました。(*^◯^*)
4,0,Books,052118939X,English Grammar in Use with Answers and CD-ROM: A Self-Study Reference and Practice Book for Intermediate Learners of English,2014-10-11,イギリス在住の友人の勧めで購入しました。初心者でも学習しやすい構成になっていて購入して良かったと思いました。ですがCDは、音声が不自然に大きくなったり小さくなったり、非常に不安定で聞きづらいす。日本では、明らかに不良品と思われるレベルです。私が買った本についていたCDがたまたま不良品だったのか、この本についているすべてのCDがこのような音声なのか分かりません。購入先が近くの店舗なら交換に行きたいところです。
4,0,Books,4883191036,みんなの日本語―初級2本冊,2015-03-04,数ページに鉛筆で書き込み、マークがあるだけで、大変綺麗でした。日本語学習者に教えるのに使います。ありがとうございました。
5,0,Books,4898153194,みさおとふくまる,2015-03-03,ほんわかした日常。強い絆と愛情たっぷりの日々。おばあちゃんとフクマル君はいつも仲良し。そんな毎日が詰まった素敵な写真集です。季節の移り変りを寄り添いながら、祝い、楽しみ共に過ごす家族写真。読み終えると、心が洗濯された気がします。
2,1,Books,1595826971,The Art of Alice: Madness Returns,2015-04-10,本の内容自体はとても素晴らしく、オールカラーだから綺麗でウットリします。ですが、保存状態が悪かったのか本の角が潰れていて残念でした。値段も高いので、あの保存状態は嫌ですね。日本語訳版でもないのも残念。
5,0,Books,0764141201,The Ultimate Phrasal Verb Book,2015-01-13,句動詞の勉強の為に購入しました。以前English Phrasal Verbs in Use Intermediateを購入しましたが、難しくて挫折。こちらの方が簡単で理解しやすく、そして楽しく覚えられます。特に例文が面白いです！エクササイズは前に勉強した句動詞も出てくるので以前何を勉強したのか忘れずに覚えることが出来ます。全部やり終わるまでは時間がかかると思いますが、一日１UNITを目標にやれば一か月ちょいでやり通せると思います！
5,0,Books,0765377063,The Three-Body Problem (Remembrance of Earth's Past),2014-11-14,面白いＳＦのストーリー、そして素晴らしい翻訳！手に入れる必要がある！
5,0,Books,1405853115,"The Practice of English Language Teaching (4E, with DVD) (Longman Handbooks for Language Teachers)",2014-09-25,イギリス大学院留学中、大変世話になりました。ELTのいろいろなジャンルの話が載っている入門書というか、百科事典的に使っていました。まずこれで調べてみて、概要をつかんでから、さらに詳しい本を調べるといったように。
4,0,Books,1905662327,Jimmy Page,2015-02-04,Amazonで注文したのですが、何ヵ月も待たされて、キャンセル。マーケットプレイスで購入しました。‥入荷見込みの遅い品物は慎重に注文をとって欲しいと思いました。やっと届いたお品ですが、大きさも重さもアルバム程度で、ページも薄目でめくりやすく、文字も少なめで、ほんとに写真がギッシリです。途中で、まだあるのか‥と思ってしまった程。じっくり細部まで見られる方は1日かかるかもしれません。幼少から最近の写真まで、楽しめます。値段相応で、大変満足しました！ただ、有名写真家が撮ったものではない感じのスナップ的なものが多く、女の私としましてはもう少し色っぽいものも期待していたのですが、ほんとにジミー本人が選びました！という感じのものばかりで、まさにジミーペイジの写真アルバムです。悪く言ってしまえば、質より量ですかね。。。14歳の頃の彼がギターを持っている写真はほんとに可愛らしく、キュンとなりました。だんだん、ギタリストっぽくなっていく過程が見れます。やはり70年代は最高に格好良く、色っぽい。‥けれど、ウイスキーを瓶からラッパ飲みしている写真とか雰囲気は精神的に脆い時代が垣間見えるというか‥。ステージ衣装はキメキメですがプライベート写真では後ろからテロ～ンとシャツを出しているものや、やはりイギリス人っぽくアーガイルが似合っている所など、この人ってほんとに甘いな‥ホイップクリームみたいな男だな♥と思ってしまいます‥（変な例えですが‥）。ただ、映像で見てしまう細くてキレイな指と（ほんとに長くてキレイです！）その動きがたまらなくセクシーで、萌えてしまうのですが、やはり写真ではわからないですね‥やっぱり動いている方がいいなー。私はギターの上手い下手はよくわからず、ギタリストもよく知りません。好きなギタリストはジミー、キース、イハ、下山淳さんくらいですが、その中でもやはりジミーは甘くてメロッとなってしまう大好きなギタリストであります。リアルタイムで観られた方は本当に羨ましい‥。最近はいい感じの歳の取り方をしていて‥まだまだ長生きして、生きている間にロバートにいい返事貰えたらいいのになー、なんて思いました。）その動きがたまらなくセクシーで、萌えてしまうのですが、やはり写真ではわからないですね‥やっぱり動いている方がいいなー。私はギターの上手い下手はよくわからず、ギタリストもよく知りません。好きなギタリストはジミー、キース、イハ、下山淳さんくらいですが、その中でもやはりジミーは甘くてメロッとなってしまう大好きなギタリストであります。リアルタイムで観られた方は本当に羨ましい‥。最近はいい感じの歳の取り方をしていて‥まだまだ長生きして、生きている間にロバートにいい返事貰えたらいいのになー、なんて思いました。
5,0,Books,1401922732,Archangel Michael Oracle Cards: A 44-card Deck and Guidebook,2014-10-31,大天使ミカエルのサポートを受け取るのに、とても役立ちます。大天使ミカエルは、パワフルなネガティブのカットが有名ですが、普段天使が身近に感じ取れない人には、ぜひおすすめです。お祈りや、アイテム、文化などとあわせて、大天使ミカエルを、理解していくと、愛という意識が広がります。
5,0,Books,4837971768,ベスト・パートナーになるために―男と女が知っておくべき「分かち愛」のルール 男は火星から、女は金星からやってきた (知的生きかた文庫),2015-08-18,参考になりました！男女に悩んでいる方ぜひぜひ読んでみてください。
5,0,Books,037583494X,Fox in Socks Book & CD (Dr. Seuss: Beginner Books),2014-04-02,3歳の子供でも前半は楽しめる感じです。CDのスピードをゆっくり、ふつう、早く、とえらへまたらもっといいなぁ(^^)
5,0,Books,0805047905,"Brown Bear, Brown Bear, What Do You See? (Brown Bear and Friends)",2014-04-02,3歳の子供にはとても分かり易かったです。全部のページに同じフレーズがあったりと、楽しみながら覚えれるので100点満点の本(^^)本自体も分厚く痛みにくいし、大きさも、持ち歩きに便利な小さめサイズなところもGood!
4,0,Books,4102294015,コンタクト〈上〉 (新潮文庫),2014-05-01,何処の書店の中古本でも全く無く、やっと此処で巡り合えた。映画を先に見ていたので、色々と違う部分が有るのは覚悟していたが…なかなかアメリカという国は複雑過ぎる事情を抱えているのだな…と感じる。科学と宗教は、近いのか？距離が在るのか？…考えさせられる。早く主人公を宇宙に行かせてやりたくても、様々な問題が山積していて、なかなか進まないのは正直困った。
3,1,Books,1401238580,V for Vendetta Deluxe Collector Set,2014-05-02,写真と少しデザインが違ったのが残念でした。生産ロットの違いなんでしょうが。
5,0,Books,8867323148,"Moleskine 2015 Mickey Mouse Limited Edition Weekly Planner, 12 Month, Pocket, Black, Hard Cover (3.5 x 5.5) (Moleskine Diaries)",2015-01-21,デザインが最高です、日本のモレスキンストアだと売っていないので満足です。
5,0,Books,0062293036,"My Drunk Kitchen: A Guide to Eating, Drinking, and Going with Your Gut",2014-09-18,ハンナを存分に楽しめる素晴らしい本だと思う。掲載されている料理はどれも美味しそうで みているだけでわくわくする。ハンナのファンは必見です！ハンナをしれてよかった
5,0,Books,0486409511,"Mastering Copperplate Calligraphy: A Step-by-Step Manual (Lettering, Calligraphy, Typography)",2014-11-01,英語が苦手でも、例示などが丁寧に載せられているので、描き方のコツは良く理解できました。文字の形を丁寧に学ぶことができる良書だと思います。
5,0,Books,0142410373,Matilda,2014-09-12,ロアルド・ダールさんの本は多分ほぼ読んだのですが、あのドキドキとわくわくが忘れられず、英語の勉強にもなると思い購入しました。読めなくても(笑)引き込まれていきますね
4,0,Books,0718157834,Me Before You,2015-02-03,とても重い話題であるのに、読み終えてみると、爽快感がありました。英語の勉強になります。
4,0,Books,0062073486,And Then There Were None,2015-01-31,中学生です。内容は非常に面白くよくできていますが、外国製ということもあり焼けやスレが目立ちました。もう少し丁寧に扱っていただけると、嬉しいです。
5,0,Books,1423424514,The Real Book,2014-03-19,青本、黒本よりも勝っている点は、曲の数が多い事。とにかく多くの曲を演奏してみたい人には絶対におすすめ。各ページもバインダーで閉じてあるので開いて使えるし、譜面台にもそのまま置く事も出来ます。しかし実際のジャズセッション等では、まだまだ青本が基準な気がするので、キーやコードに多少の違いもあるかと思いますのでその点は注意。個人的には最高のジャズ譜面だと思っています。
5,0,Books,052118939X,English Grammar in Use with Answers and CD-ROM: A Self-Study Reference and Practice Book for Intermediate Learners of English,2014-04-29,英語を英語で勉強することで、実際の教室で学んでいるような気持ちになります。
5,0,Books,0847835073,Monica Bellucci,2014-11-17,私は、写真を、生業としていませんし、「数」もほんの僅かしか、観ていませんが、素人観で（専門の方や詳しい方からは、つぶやきに聞こえると思います）やはり全体に美しいですし、日本では作ることのできない何があります。もっと、たくさんの写真集を観てみたくおもいます。この写真集も高まりを覚えました。
1,1,Books,B001L7XND2,Hunger[PAL-UK][Import],2014-06-26,字幕であるとか日本語あるとか説明がない。再生できず返品に至る。
5,0,Books,0071766588,"Official Guide to the TOEFL Test With CD-ROM, 4th Edition (Official Guide to the Toefl Ibt)",2015-06-09,以前のバージョンより過去問は少なくなりましたが、答えの解説が英語で詳しくなりよくなったと思います。
5,0,Books,0763652245,What's in the Witch's Kitchen?,2014-11-23,4歳の娘ですが、かなり食い付きました。大爆笑で、こちらもつられて娘の様子に大爆笑。家族で楽しめました。
3,1,Books,0714844659,"Breakfast, Lunch, Tea: The Many Little Meals of Rose Bakery",2014-04-04,インテリアブックのような印象を受けました。レシピ本としては？でした。
5,0,Books,4883191036,みんなの日本語―初級2本冊,2014-02-25,いいいいいいいいいいいいいいいいいいいいいいいいいいいいいいい
4,0,Books,0340733500,The Power of Now: A Guide to Spiritual Enlightenment,2014-02-23,注文して直ぐに届きましたし、外も中もいい状態でしたので満足です。ただ、本の角が多少の凹みがありました。梱包の時にビニールだけでなく本をプロテクトできる材料で梱包してもらえたら嬉しいです。
4,0,Books,4163124802,虚栄の篝火〈下〉,2015-06-24,心情風景は全て男のもの。女性も物語には登場するのだが心情の記述は無い。起承転結のある良くあるパターン。後で出て来るメンバーの紹介を兼ねた別々の物語が幾つか述べられ、それらが絡み合っていく。中心となる事件はその中にまぎれても良いようなものがさりげなく出て来る。逆転ホームランとなりそうなことはそうなる前に分かった。しかし、その結末はすっきりとは行かず。。。翻訳ものではあるが楽しんで読めた。つまり、原著が良く、翻訳もこなれているということだ。ただ、エピローグ直前の章だけは明確に文意がつかめなかった。この場合、原著が悪いのか、翻訳が悪いのか分からない。また、翻訳ものは大概避けられないのだが、固有名詞が長くなってしまうのが難点だ。そしてそれが頭に残りづらい。この人前に出てきたっけ、と言うのが和書に比べてずっと多いのだ。それでも、アメリカ、ニューヨーク、人種意識、法律制度など、彼の地での知識も得られるのは良い点だ。
3,1,Books,0747599874,The Tales of Beedle the Bard (UK) Standard Edition,2014-02-19,英語の学習にも役立てるため、購入しました。また、ほかの作品を購入したいと思っています。
5,0,Books,0439023521,The Hunger Games,2014-11-29,映画の方をさき見てこれを手にしてみましたが、映画も名作でしたがほんの方もなかなかの名作です。シリーズを全部読んで、いろいろ考えさせます。結局革命の話にはなるんですが、社会変革のなかで個々人のリアルな立場、などの想像力が恐ろしいです。
4,0,Books,1107699894,Advanced Grammar in Use Book with Answers and CD-ROM: A Self-Study Reference and Practice Book for Advanced Learners of English,2014-02-15,英語の文法を英語で解説。英語をブラッシュアップしたい人におすすめ。
5,0,Books,1572815108,"Thoth Tarot Deck, Premier Edition",2014-05-09,カバラや占星術などの知識がないと、占いに使うのは難しいです。タロット初心者にはお勧めしません。私は主に独特の絵を眺めるために使っています。少し不気味な雰囲気が漂っている絵柄ですが、人を惹きつけるものがあります。有名なタロットデッキなので、コレクションとして持つのも悪くないと思います。この紫の箱がスタンダード・サイズです。黄緑色の箱は、大きなサイズのカードです。青っぽい箱は、小さなサイズです。
5,0,Books,1572817607,Under the Roses Lenormand,2014-06-21,色使いはシックで、落ち着いた印象です。絵が綺麗なカードなので、気に入ってます。英語で書かれた、簡単な説明書が入っています。
5,0,Books,1444777572,The World According to Bob: The further adventures of one man and his street-wise cat,2014-12-23,英語の勉強のために買いました。海外からおくられてくるので時間がかかり、ほんの少しのよれがありましたが、店頭よりかなり安く手に入り、満足です。まだ読んでませんが、前作を読んで感動したので、これから頑張って読もうと思います！
5,0,Books,3836538725,Genesis,2014-01-28,昨年(2013年)の夏に、日本橋の書店で表紙を見た瞬間思わず手にとってしまいました。名前を見るとサルガドでした。全ての写真が構図も瞬間も完璧で、というか完璧すぎて見終わったあとちょっと写真酔いします。写真に興味のない主人に見せても、その凄さを感じたようです。撮影費用も期間をそうとうでしょうけど写真集が１万円しないなんて、お得というほかありません。ささっと撮った写真で年に何冊も写真集を出してる人は反省してください。なんちゃって。
3,1,Books,081297963X,A Photographer's Life: 1990-2005,2014-01-28,1989年に知り合った恋人で作家のスーダン・ソンタグが2004年12月28日に白血病でなくなるわけですからその間に撮られた私生活や仕事の写真をまとめている写真集です。たぶんアニー・リーボヴィッツのファン向けと考えたほうがいいんでしょうか。彼女の私生活のほうがたっぷり載っています。ソンタグは進行性の乳がんを患っていましたから写真集には、なにか死の影がつきまとっています。子供が生まれたり、9.11があったり、コソボがあったりと激動の時代にたくましく生きた女性写真家の人生を垣間見る意味ではいいんですけど彼女を知らない人には向いていないかも。1980年 裸のジョンレノンが、オノヨーコにしがみつく写真をアニーは撮影しました。その数時間後ジョンは射殺され、彼女の写真はローリングストーン紙のジョンレノン追悼号の表紙になりました。すごい運命ですね。でも、そんな伝説の写真は、残念ながら入ってませんでした。
4,0,Books,0689853491,We're Going on a Bear Hunt,2014-08-02,この本をなくしてしまったので、購入出来て本当に、よかったです
5,0,Books,4863892217,吟遊詩人ビードルの物語 (ハリー・ポッター文庫),2014-04-07,とても面白いですよ。特にダンブルドアのコメントとか、本の中にある設定とかね（≧∇≦）
4,0,Books,1401937268,Angel Tarot Cards,2014-01-20,結構あこがれていたデッキだったのでやっと買うことにした。ドリーンバーチューのデッキはこれでもう３つめ。アートワークはすごくきれいでマジカルなかんじだった。仲にはいっていけるような。。カードの周りはきれいなシルバーのギルディング。カード数が多いので（私はそれでうれしいが）シャッフルなれするのに少し時間がかかった。ガイドブックはカードに意味とガイダンスが短く書かれている。自分でリーディングするときは長い文章が書かれているほうがすきだが、人とリーディングすると帰ってそのほうが伝わりやすかった。インデップな情報がいるときはインチュイションを信じること。使うにつれて、好きになっていくカード。でも付き合いはまだ長い。まあ当たるとかは個人のカードとの付き合いだからぜひ自分でためしていくことだろう。このカードってやさしいメッセージばかりと言うレビューをよく聞きますが、ちゃんと注意するべきことは言ってますよ。オラクルカードはじめて~って言う方も絶対安心できるカードデッキだ、と私は思う＾＿＾In love and light ♥
5,0,Books,4062756609,ワイルド・スワン(上) (講談社文庫),2015-02-18,文化大革命、それは文化、歴史、あらゆる感情を否定して、中国史上最も国を大混乱に陥れた政策であった。この本では、リアルな国民生活が描かれていて、人はここまでできるのかと、倫理観を疑った。生活レベルは世界でも最低レベルまで下がったのだと思う。しかし、この本は私をもっと中国を好きにさせた。文化大革命後の中国人の努力、強い精神力そして、未来を見いだそうとする強い思いが中国を世界第二位の国にしたことにとても感服した。著者に感謝したい。ありがとう。
5,0,Books,3832797033,The Porsche 911 Book: 50th Anniversary Edition,2013-12-31,ポルシェ社創業５０周年を記念して発刊された「The Porsche 911 Book 50th anniversary」レアな写真が多く、厚い本自体、シルバー背景＆ブラック文字で、書棚に飾っても恰好良いと思います。
4,0,Books,052118939X,English Grammar in Use with Answers and CD-ROM: A Self-Study Reference and Practice Book for Intermediate Learners of English,2014-08-04,包装が簡易的な物になっていたので、ダンボールよりもよかったです！本一冊くらいならこれでいいかなって思います
5,0,Books,4898153194,みさおとふくまる,2015-07-29,写真集で、感動して涙を流したのは初めてでした。私は猫好きです。私の田舎は農家で、この写真集を見ると、亡き祖母と、祖母が飼っていた猫の事が、かぶって見えて…言葉のない写真集で、人間の心を感動させる事が出来る事は、とても凄い事だと思います。
5,0,Books,0316236535,"Go Away, Big Green Monster!",2014-09-24,"娘が２歳のときに購入しました。仕掛け絵本になっていて、モンスターが少しずつ現れてだんだんいなくなるのがおもしろいです。娘もとても気に入ったようで、一緒に""Go Away!""と言って今でも楽しく読んでいます。仕掛けになっている顔パーツの穴に手をかけて自分でページをめくりたいらしく、一部破れてしまったので修復して使っています。私も好きな一冊で、おすすめの絵本です。"
5,0,Books,4863892217,吟遊詩人ビードルの物語 (ハリー・ポッター文庫),2014-03-17,ハリーの世界にはまっている子供がよろこんで読んでいました。お話だけではなくダンブルドア校長のコメントが入っていたりして楽しいようです。
5,0,Books,0747574472,Harry Potter and the Philosopher's Stone: Adult Edition (Harry Potter Adult Cover),2014-10-06,大人版の表紙のUKバージョンが欲しかったので嬉しかったです。本文は子ども版と同じだと思いますが挿絵、目次がありません。挿絵が見たい人は子ども版をお勧めします。紙質はペーパーバックですのでそれなりです。高級感はありませんが表紙も背表紙も題の文字が金で背表紙にも赤い石の写真が入っているので本棚に並べた時にきれいで私は気に入っています。
5,0,Books,0241003008,The Very Hungry Caterpillar [Lilliput edition],2014-02-27,有名な絵本なので原語で読み聞かせしようと1月に出産した子供に読み聞かせしています。まだ全然読み聞かせには早いですが、カラフルな色使いや子供の指が通る穴、曜日や数字など分かりやすく人気があるのが分かりました。
4,0,Books,0805047905,"Brown Bear, Brown Bear, What Do You See? (Brown Bear and Friends)",2014-02-27,1月に生まれた子のために購入しました。絵が大きくて動物とカラーの名称が分かりやすい。アートっぽい絵と動物やカラーの名称を覚えるのに私はいいと思いましたが、うちに遊びに来た甥っ子姪っ子はあまり興味を持ちませんでした。私の子供はまだ反応が分からないのでこれからも引き続き読み聞かせします。
5,0,Books,1844488748,Di Van Niekerk's Roses in Silk and Organza Ribbon,2015-02-09,大きな図解と写真による解説がとてもわかりやすい。全ページカラーなのでとてもきれい。
